Run key soldier,Id,Name,Rank,Salary,Run key Weapon,Regular Or permanent,Recruitment date,Release date
269,45285927,Sherry Shellhammer,Rav turai,6713,17944,permanent,1994-12-19,1997-09-14
270,257739906,Paul Gilbert,Tat aluf,5008,12620,Regular,1999-05-29,2002-02-22
271,18489120,Jessica Chambers,Rav samal,8532,10556,Regular,1996-01-10,1998-10-06
272,34427605,Dwight Lenard,Aluf mishne,1885,14284,Regular,2002-08-03,2005-04-29
273,273878378,Alice Park,Samal,7206,1477,Regular,2001-01-30,2003-10-27
274,198259760,Sandra Zeinert,Rav samal,3906,1010,Regular,1991-09-17,1994-06-13
275,84796487,Samuel Zastawny,Turai,3756,13840,permanent,1990-06-07,1993-03-03
276,122777057,Cassandra Stephens,Rav turai,4804,12956,permanent,1990-03-07,1992-12-01
277,282827848,Jeremiah Huff,Rav turai,3317,15086,Regular,1997-03-18,1999-12-13
278,67900837,Quinton Bronn,Turai,9956,11062,Regular,2010-11-10,2013-08-06
279,190690827,Marlene Jones,Rav samal rishon,4788,9237,Regular,2015-07-27,2018-04-22
280,248019387,Matthew Williams,Seren,1528,13388,Regular,2014-08-18,2017-05-14
281,51088962,Brian Carpenter,Seren,3751,9224,permanent,1992-03-30,1994-12-25
282,178574219,Nancy Forker,Rav turai,3576,18178,permanent,2007-04-20,2010-01-14
283,65776154,Craig Beasley,Turai,5746,18794,Regular,2012-09-10,2015-06-07
284,38219060,Jefferson Jessen,Seren,6493,2704,Regular,1992-11-07,1995-08-04
285,26588264,Stephen Donohue,Rav samal rishon,6346,12080,Regular,2014-03-25,2016-12-19
286,96309133,Jacob Farmer,Samal,1587,15532,permanent,2008-11-29,2011-08-26
287,111528070,Nancy Harris,Samal,9731,6996,Regular,1993-08-29,1996-05-25
288,32297937,Margaret Scott,Rav samal,8863,1338,permanent,1992-12-11,1995-09-07
289,265252071,Rosa Harris,Turai,2076,5888,Regular,2011-04-30,2014-01-24
290,11687432,Shannon Marroquin,Seren,5141,7088,permanent,1990-09-07,1993-06-03
291,261628111,Sam Ehrhart,Rav samal,7333,19605,Regular,1991-05-07,1994-01-31
292,13279247,Woodrow Martin,Rav samal,6916,4689,Regular,2013-03-14,2015-12-09
293,129233636,Anna Stolte,Rav samal,6876,11521,permanent,1994-10-08,1997-07-04
294,167677669,Theresa Ward,Samal,9658,3396,Regular,1990-10-18,1993-07-14
295,135112480,Arthur Deems,Rav seren,9022,12983,Regular,2013-04-13,2016-01-08
296,187291611,Scott Kerrigan,Rav samal rishon,1663,3582,Regular,2007-01-16,2009-10-12
297,73003935,Stanley Deni,Rav samal,7031,16035,Regular,1993-11-14,1996-08-10
298,132850208,Brenda Villarreal,Rav samal,8869,7837,permanent,2014-02-08,2016-11-04
299,41142524,Charlie Brown,Seren,4867,17295,Regular,2001-07-21,2004-04-16
300,59668531,Annie Baker,Rav samal,3877,8044,permanent,1993-03-21,1995-12-16
301,241826764,Marcus Dorais,Rav turai,9683,19398,permanent,2009-01-12,2011-10-09
302,102551814,Manuel Michels,Samal,3039,5769,Regular,2017-10-25,2020-07-21
303,153067248,David Mazur,Aluf mishne,4809,14442,permanent,2004-01-16,2006-10-12
304,19191028,Christa Hanson,Aluf mishne,7915,16298,Regular,2010-10-16,2013-07-12
305,131124875,Ruben Mauch,Rav samal rishon,5493,10262,Regular,2003-11-13,2006-08-09
306,196163474,Sam Burke,Rav turai,9306,16226,permanent,2011-07-21,2014-04-16
307,274335694,Corrine Peluso,Rav samal,7881,8609,permanent,2017-12-09,2020-09-04
308,291045062,Evelyn Darrell,Seren,7534,16739,Regular,2000-12-27,2003-09-23
309,155681669,Brent Howard,Rav samal rishon,8707,14311,Regular,1996-11-25,1999-08-22
310,225040626,William Walker,Samal,2297,12931,permanent,1994-10-17,1997-07-13
311,251277536,Richard Koch,Rav samal,7451,16523,permanent,2011-01-06,2013-10-02
312,107610503,Jean Minor,Rav samal,8816,15070,Regular,2009-10-10,2012-07-06
313,195188399,James Terry,Rav samal rishon,4378,16683,permanent,1990-01-05,1992-10-01
314,38031142,Nancy Machuca,Sgan aluf,2358,15859,Regular,1992-04-30,1995-01-25
