Run key adviser,Id,Name,Certification,Salary,Force,Specialty
84,450276529,Sharon Jelks,Astronomy,20876,Navy,Finance
85,596467182,Roger Powell,Computer Engineer,27241,Intelligence,Explosives
86,405335320,Lauren White,geology ,28708,Infantry,Explosives
87,872354685,Jason Hartman,Physics,17342,Infantry,Gaza
88,652404187,James Mullen,Astronomy,24045,Infantry,Gaza
89,21592041,Robert Martinez,Chemical Engineer,29093,Infantry,Egypt
90,999996231,Bessie Merritt,Chemistry,25967,Navy,Lebanon
91,623903808,Ralph Erwin,Chemical Engineer,21854,Intelligence,Health-care
92,802388672,Dawn Majors,Biochemistry,10533,Air,Explosives
93,708383303,Samuel Robertson,Biochemistry,22675,Air,Finance
94,941467021,John Widell,Computer Engineer,14258,Navy,Firearms
95,458879615,Richard Hembree,Automotive Enginee,17567,Infantry,Egypt
96,957116737,Teresa Maize,Astronomy,25931,Navy,Lebanon
97,809424895,Phyllis Rudolph,Biochemistry,27639,Air,Egypt
98,215477321,Jose Pagliari,Microbiology,5896,Infantry,Health-care
99,924939656,Kathleen Mcculloch,Botany,9536,Infantry,Syria
100,337588914,Tyler Bosley,Physics,17624,Navy,Gaza
101,428629328,Leslie Smith,Physics,28529,Navy,Syria
102,207366837,Donald Walker,Zoology,5989,Intelligence,Firearms
103,527281291,Heather Tucker,geology ,7834,Air,Animal training
104,300817252,Elizabeth Bennett,Chemical Engineer,29185,Air,Enemy-psychology
105,559611700,Rene Obrien,geology ,28438,Intelligence,Lebanon
106,546602020,Elizabeth Archey,Botany,23791,Air,Lebanon
107,510222648,Rachel Baver,Botany,11056,Air,Firearms
108,94094684,Herbert George,Physics,20269,Armored,Animal training
109,466103224,Floyd Reed,Physics,22574,Intelligence,Enemy-psychology
110,399237860,Nancy Chao,Microbiology,4330,Air,Health-care
111,138410032,Crystal Hansen,Physics,13332,Navy,Firearms
112,516305934,Bill Wright,Microbiology,22250,Navy,Firearms
113,725927708,Chris Jordan,Computer Engineer,13763,Air,Firearms
114,424259433,Chin Maldonado,Zoology,25577,Navy,Syria
115,245064749,Spencer Perez,Zoology,11331,Navy,Firearms
116,899685629,Daisy Rice,Chemical Engineer,17173,Air,Enemy-psychology
117,728062632,Richard Adcock,Computer Engineer,17515,Armored,Finance
118,734598543,Thomas Coker,Microbiology,10771,Navy,Enemy-psychology
119,284135057,Roland Laur,geology ,18759,Navy,Enemy-psychology
120,806563978,Kathy Pickett,Botany,21325,Intelligence,Gaza
121,95506241,Consuelo Chapman,Astronomy,9425,Air,Firearms
122,814456898,Alison Filthaut,Zoology,8122,Infantry,Gaza
123,450857390,Zachary Vong,Computer Engineer,12332,Air,Enemy-psychology
124,184653436,Brett Lakey,Botany,17184,Navy,Health-care
125,789782344,Lisa Creek,Chemistry,16485,Armored,Enemy-psychology
126,101972493,Scott Loges,Physics,5730,Navy,Animal training
127,943747228,Helen Ward,Astronomy,15585,Infantry,Health-care
128,585602250,Brenda Bialczyk,Zoology,8533,Infantry,Finance
129,590852835,Vincent Ziegler,Zoology,22993,Infantry,Health-care
130,80887324,Margaret Rumph,Biochemistry,28716,Air,Enemy-psychology
131,112750763,Stephen Bryant,Computer Engineer,18202,Intelligence,Syria
132,933634266,Paula Schram,Astronomy,10998,Infantry,Lebanon
133,37110856,Rebecca Burpee,Chemistry,11368,Air,Egypt
134,750106771,Richard Eller,Chemical Engineer,24629,Intelligence,Finance
135,146282151,Frank Valenzuela,geology ,10385,Air,Finance
136,672740106,Cristina Nissen,geology ,24229,Navy,Lebanon
137,753479824,Robert Landaker,Physics,4511,Navy,Egypt
138,108905435,Joanne Farmer,Computer Engineer,24683,Navy,Gaza
139,980467373,Michael Ostby,Automotive Enginee,3564,Infantry,Explosives
140,180549692,Jeff Creveling,Astronomy,6217,Infantry,Gaza
141,13961930,Veronica Diaz,Physics,4482,Armored,Egypt
142,579072809,Carolyn Cortinas,Botany,23898,Air,Firearms
143,881033074,Bryan Cawthon,Chemistry,3506,Air,Explosives
144,305949258,Daniel Allen,Biochemistry,15335,Navy,Gaza
145,936468945,Heather Gibbs,Microbiology,27219,Air,Health-care
146,468605914,Kassandra Lastufka,Microbiology,19550,Infantry,Gaza
147,31426234,Shane Cook,Automotive Enginee,17810,Intelligence,Syria
148,430115720,Paul Crume,Computer Engineer,29248,Air,Explosives
149,558575493,Hugh Manion,Biochemistry,19208,Navy,Health-care
150,335699139,Cynthia Daniels,Botany,3406,Armored,Enemy-psychology
151,918257953,Robert Loredo,Chemical Engineer,8943,Air,Gaza
152,404773984,Mary Converse,Chemistry,12965,Infantry,Explosives
153,78850644,Gerardo Bailey,Automotive Enginee,10740,Armored,Explosives
154,108814663,Marcy Sheely,Chemical Engineer,6541,Navy,Lebanon
155,189857871,Rosemary Saver,Botany,27123,Armored,Syria
156,257510623,Betty Kinroth,Botany,21799,Infantry,Lebanon
157,186065718,Cynthia Cauthon,Botany,13089,Intelligence,Finance
158,997501697,James Flores,Automotive Enginee,5165,Armored,Syria
159,627336235,James Pierce,Chemical Engineer,7002,Intelligence,Health-care
160,676230886,Joe James,Biochemistry,10708,Intelligence,Gaza
161,244101568,William Moore,Automotive Enginee,25466,Navy,Syria
162,585024161,Frank Rose,Microbiology,4179,Navy,Syria
163,467471182,Ella Pope,Chemical Engineer,20980,Air,Enemy-psychology
164,348706184,David Gier,Chemistry,19431,Navy,Syria
165,60305904,Brandon Jenkins,Botany,24196,Navy,Syria
166,110629963,Alicia Stidham,Chemical Engineer,16677,Intelligence,Lebanon
167,634671709,Joe Hassell,Zoology,6112,Intelligence,Lebanon
168,661590830,Jacob Smith,Computer Engineer,20044,Armored,Animal training
169,433235804,Steve Vesey,Zoology,7215,Armored,Health-care
170,495373762,Patricia Dutcher,geology ,24409,Infantry,Firearms
171,694901937,Joy Trotman,Computer Engineer,19129,Infantry,Firearms
172,593464325,John Swanson,Botany,8333,Armored,Health-care
173,571550697,Jacob Popovich,Physics,5934,Armored,Finance
174,487590902,Nell Downer,Automotive Enginee,26451,Navy,Firearms
175,609319712,Eric Townsend,Chemical Engineer,14554,Infantry,Animal training
176,927689123,Kyle Rogal,Botany,28352,Intelligence,Lebanon
177,859638178,Marvin Stacey,Chemical Engineer,13477,Intelligence,Finance
178,346524068,Richard Maher,Botany,3361,Armored,Lebanon
179,519309000,Emily Rodriguez,Botany,26341,Intelligence,Finance
180,310840274,Charles Sircy,geology ,29857,Infantry,Gaza
181,135330243,Robert Rigney,Chemistry,16266,Armored,Syria
182,731958954,Linda Perez,Zoology,25369,Armored,Egypt
183,442003000,Walter Flesher,Zoology,24029,Infantry,Animal training
184,670025767,Viola Soder,Computer Engineer,3130,Infantry,Animal training
185,270517561,Robert Hays,Automotive Enginee,5998,Air,Animal training
186,500526113,Jeanette Bailey,Zoology,19131,Armored,Enemy-psychology
187,671319833,Ann Thomas,geology ,7397,Infantry,Enemy-psychology
188,688647430,Joel Gorton,Physics,25294,Infantry,Firearms
189,887685972,Daniel Cabrera,Botany,16275,Armored,Syria
190,660326288,Doug Denton,Chemistry,6369,Navy,Enemy-psychology
191,294877020,Benita George,Microbiology,21752,Armored,Gaza
192,947841547,Bessie Rodriguez,Physics,20282,Air,Health-care
193,679873248,Gregory Powers,Physics,21375,Armored,Explosives
194,108372261,Erica Mayes,Botany,14167,Air,Enemy-psychology
195,269611778,Charles Behring,Automotive Enginee,5751,Intelligence,Egypt
196,632582349,Laura Reed,Chemistry,21251,Intelligence,Health-care
197,239807231,Wayne Jackson,geology ,4224,Navy,Syria
198,830978169,Kirk Lopez,Chemistry,25015,Armored,Firearms
199,965272813,Willard Kelly,Biochemistry,18507,Infantry,Explosives
200,168469365,Thomas Stacy,Computer Engineer,15656,Armored,Explosives
201,561846863,Joe Dicaprio,Chemistry,11481,Armored,Egypt
202,30263560,Shirley Davis,Automotive Enginee,28332,Armored,Syria
203,794587550,Mike Weal,Physics,15856,Navy,Egypt
204,62164295,Conrad Paquette,Computer Engineer,17954,Armored,Firearms
205,756542436,Robert Gilbreath,Microbiology,28641,Intelligence,Lebanon
206,942030797,Dianna Wallace,Biochemistry,17546,Intelligence,Finance
207,237962007,John Northcraft,Chemistry,3860,Air,Finance
208,20923525,Tina Whelan,Biochemistry,28966,Navy,Syria
209,729098334,Barbara Westphalen,Microbiology,15572,Intelligence,Finance
210,720070874,James Kelly,Physics,26837,Intelligence,Health-care
211,336591410,Gabriel Gohn,Biochemistry,21929,Navy,Finance
212,502933537,Mary Heidler,Microbiology,6001,Armored,Enemy-psychology
213,854397732,Brian Blair,Physics,15520,Infantry,Explosives
214,925008089,Mark Moore,Botany,14641,Infantry,Firearms
215,334833598,Ann Velasquez,Astronomy,20822,Air,Lebanon
216,474613168,Gail Chivers,Chemistry,27426,Intelligence,Explosives
217,438415430,Darlene Clark,geology ,27250,Navy,Enemy-psychology
218,385911068,Eva Slayman,Botany,26289,Armored,Gaza
219,527144465,Earlene Eggers,Computer Engineer,6795,Armored,Explosives
220,949557359,Karen Moran,Computer Engineer,18638,Air,Syria
221,801915084,Frieda Schmidt,Computer Engineer,27907,Air,Firearms
222,256346894,Matthew Bubier,Biochemistry,21132,Air,Health-care
223,809060433,Lynne Carson,Physics,12218,Armored,Firearms
224,912344939,Jonathan Hicks,Chemistry,20161,Armored,Animal training
225,246730791,Helen Howard,Astronomy,29099,Navy,Enemy-psychology
226,168474639,Bonnie Barber,Automotive Enginee,19209,Armored,Syria
227,100383064,Shirley Chamberlain,Physics,16318,Armored,Animal training
228,366953814,Gloria Flores,Astronomy,23372,Air,Gaza
229,123521962,Maxine Middleton,Physics,8360,Armored,Health-care
230,734561298,David Rey,Microbiology,20884,Intelligence,Health-care
231,430692552,Robert Cisneros,Computer Engineer,22430,Intelligence,Finance
232,124726121,Larry Bailey,Zoology,28177,Infantry,Health-care
233,863845575,Samuel Roccio,Computer Engineer,16862,Armored,Explosives
234,495701515,David Mankin,geology ,17921,Infantry,Animal training
235,13547143,Teresa Wheeler,Astronomy,26054,Intelligence,Firearms
236,866574530,Melanie Brown,Zoology,23869,Air,Animal training
237,459057988,Mike Brown,Physics,6388,Navy,Enemy-psychology
238,608542166,Darrell Vignola,Automotive Enginee,13832,Intelligence,Explosives
239,763079033,Jeffrey Grinder,Biochemistry,23154,Armored,Explosives
240,64483806,Daniel Pryor,Chemical Engineer,15109,Air,Lebanon
241,553622097,Michelle Vollmar,Computer Engineer,8159,Infantry,Health-care
242,489682307,Roy Aburto,Chemistry,29788,Infantry,Egypt
243,328149858,James Pfeifer,Microbiology,18710,Intelligence,Egypt
244,562800114,Joseph Nelson,Chemistry,17671,Navy,Syria
245,935700623,Joseph Mascorro,Chemical Engineer,20597,Infantry,Finance
246,957062532,Frederick Wells,Computer Engineer,3029,Intelligence,Animal training
247,866159708,Walter Hart,Automotive Enginee,23566,Intelligence,Enemy-psychology
248,403274812,John Rodriguez,Botany,21099,Infantry,Explosives
249,254426327,Bianca Gaudin,Zoology,10137,Infantry,Egypt
250,877854231,Twyla Poff,Zoology,7752,Infantry,Lebanon
251,342294284,Gwendolyn Derosier,Biochemistry,29512,Intelligence,Finance
252,825981454,Blanca Fifield,geology ,6137,Air,Enemy-psychology
253,908942246,Bill Powell,Astronomy,9157,Navy,Explosives
254,608897236,John Oglesby,Computer Engineer,25719,Air,Animal training
255,849035944,Robert Merriweather,Biochemistry,10329,Armored,Lebanon
256,671786792,Richard Flies,Chemistry,27238,Navy,Egypt
257,552760431,Isabell Wiest,Physics,14248,Armored,Syria
258,51115769,Clarence Contos,Biochemistry,3967,Air,Firearms
259,389526173,Jean Biedrzycki,Physics,16336,Navy,Explosives
260,750027625,Travis Jahn,Biochemistry,21520,Armored,Lebanon
261,468946060,Ronald Dini,Computer Engineer,25226,Air,Firearms
262,693562507,Lilly Dallis,Astronomy,7125,Armored,Animal training
263,931231521,Karen Roland,Chemical Engineer,26745,Infantry,Gaza
264,344051302,Maria Flowers,Computer Engineer,4992,Armored,Finance
265,285055024,Ruth Mckinney,Chemical Engineer,18089,Air,Finance
266,252059015,Rita Thomas,Chemical Engineer,28435,Navy,Enemy-psychology
267,524886365,Herman Carter,Astronomy,5406,Air,Enemy-psychology
268,714350344,Agnes Potter,Computer Engineer,9068,Intelligence,Gaza
269,487558811,Cecil Cummins,Zoology,7927,Infantry,Explosives
270,136308215,Shelby Bryant,Zoology,3988,Armored,Firearms
271,826202845,Grace Hardy,Biochemistry,20792,Air,Animal training
272,730263505,Peter Sanchez,Zoology,19725,Infantry,Lebanon
273,984571796,Andrew Williams,Chemistry,18893,Air,Explosives
274,981852069,Donald Wiley,Automotive Enginee,27983,Armored,Egypt
275,559115334,Mary Collins,Botany,19835,Navy,Firearms
276,750396161,Diana Kubie,Zoology,16164,Intelligence,Finance
277,327851566,Mark Beach,Computer Engineer,18064,Armored,Explosives
278,692920958,Iva Fryberger,Zoology,18080,Air,Finance
279,546101490,Kimberly Main,Zoology,9184,Navy,Enemy-psychology
280,642206730,Jason Kiedrowski,Physics,27263,Armored,Finance
281,225078614,Ralph Parker,Microbiology,8253,Navy,Firearms
282,298553866,Clyde Kent,Physics,21378,Air,Health-care
283,127144891,Beverly Ponzi,Zoology,15363,Air,Enemy-psychology
284,966613997,Cathy Plaut,Chemistry,15973,Infantry,Enemy-psychology
285,439119233,Rose Alford,Astronomy,26172,Infantry,Explosives
286,878069033,Amelia Shelton,Astronomy,26782,Armored,Syria
287,183428220,Lorraine Mullis,Botany,11820,Intelligence,Syria
288,595901512,Carla Jennings,Chemical Engineer,7677,Armored,Health-care
289,612758689,Frank Hodges,Biochemistry,20055,Armored,Gaza
290,800405999,Robert Carter,Zoology,28510,Armored,Explosives
291,147072429,Addie King,Astronomy,25319,Air,Lebanon
292,903938533,Maria Leach,Microbiology,16406,Air,Finance
293,730952479,Daisy Winstead,Physics,20892,Air,Firearms
294,271555388,Rick Young,Astronomy,11587,Armored,Firearms
295,106640982,Brian Stanley,Chemical Engineer,12329,Armored,Enemy-psychology
296,492786908,Angeline Powell,Chemistry,21407,Infantry,Egypt
297,383978139,Timothy Waites,Zoology,24570,Navy,Syria
298,841658415,Carol Yannone,Computer Engineer,20898,Intelligence,Explosives
299,375449124,Joan Helstrom,Chemistry,12417,Intelligence,Animal training
300,237194302,Bonita Ross,Chemical Engineer,4297,Infantry,Syria
301,807331559,Wallace Vickers,Automotive Enginee,29802,Navy,Lebanon
302,714267855,Richard Moore,Biochemistry,19997,Air,Health-care
303,220844275,Michael Lewis,Zoology,18277,Air,Firearms
304,503258458,Elaine Chasten,Microbiology,17272,Navy,Egypt
305,346371487,Hazel Morgan,Zoology,11431,Intelligence,Gaza
306,371073614,Violet Rudd,Computer Engineer,8860,Navy,Firearms
307,733918473,Valentine Shan,Automotive Enginee,17551,Armored,Health-care
308,827634145,Robert Edwards,Biochemistry,27808,Infantry,Syria
309,578700265,Jonathan Crawford,Computer Engineer,7017,Navy,Finance
310,159254995,Christopher Hams,Biochemistry,29446,Navy,Health-care
311,80409724,Lola Wells,Physics,22178,Navy,Syria
312,773970612,Kara Karalis,Astronomy,24273,Navy,Lebanon
313,247765433,Sang Bisard,Chemical Engineer,17258,Intelligence,Finance
314,354477664,Sidney Woolley,Automotive Enginee,29172,Infantry,Health-care
315,634864875,Rita Ramos,Biochemistry,25382,Infantry,Enemy-psychology
316,567480919,Robert Miller,Automotive Enginee,26447,Air,Health-care
317,814650846,Steve Rodriguez,Physics,27266,Air,Gaza
318,93456748,Barbara Applewhite,geology ,17849,Air,Lebanon
319,25605640,David Brown,Chemistry,15660,Intelligence,Enemy-psychology
320,818045965,Louis Worthen,Microbiology,3241,Navy,Animal training
321,245815151,Dora Nelson,Zoology,18815,Air,Health-care
322,941898258,Jimmy Davila,Astronomy,22085,Navy,Explosives
323,817940514,Melvin Lynch,Automotive Enginee,17133,Infantry,Explosives
324,657159898,Shannon Swanson,Zoology,19915,Infantry,Finance
325,294229134,Kenny Desimone,geology ,9248,Intelligence,Syria
326,152161309,Lynn Xavier,Botany,3229,Infantry,Firearms
327,36351318,Joe Baysinger,Astronomy,3864,Infantry,Egypt
328,324769069,Mark Gray,geology ,22567,Infantry,Lebanon
329,376109023,Clinton Carlton,Biochemistry,23574,Intelligence,Egypt
330,670292058,Kenneth Marley,Physics,29631,Air,Lebanon
331,266572131,Gloria Lee,Biochemistry,5560,Armored,Firearms
332,560890510,Antonio Flahive,Chemical Engineer,26512,Infantry,Finance
333,546925568,Ron Vincent,Chemical Engineer,29215,Infantry,Health-care
334,854347393,Carol Frederick,Computer Engineer,25776,Infantry,Syria
335,427016672,Mark Stiles,Microbiology,11129,Air,Explosives
336,529231692,Stacie Kuehn,geology ,11804,Navy,Animal training
337,400590314,Zachary Bentley,geology ,29552,Infantry,Gaza
338,718668695,Brian Lawson,Microbiology,5223,Navy,Gaza
339,43554607,Thomas Soders,Astronomy,6248,Air,Egypt
340,87355962,Sanjuana Rost,Biochemistry,9109,Intelligence,Explosives
341,316399801,Marlon Miller,Physics,17034,Armored,Animal training
342,37854102,Betty Fultz,Biochemistry,6558,Infantry,Health-care
343,761350326,Josephine Johnson,Biochemistry,6486,Infantry,Enemy-psychology
344,286963402,Stephen Gilchrist,Biochemistry,16849,Intelligence,Explosives
345,206221155,Fannie Gonzales,Computer Engineer,27749,Armored,Gaza
346,361705590,Jill Echols,Zoology,23962,Air,Gaza
347,42397410,Marc Frazier,Computer Engineer,18757,Air,Enemy-psychology
348,172387568,Zachary Coleman,geology ,24347,Air,Gaza
349,813255582,Pinkie Silva,Physics,17518,Navy,Syria
350,244196878,Willie Slagle,Astronomy,21991,Armored,Gaza
351,12389240,Edward Hurtubise,Chemistry,23325,Intelligence,Egypt
352,928773585,Willie Harms,Biochemistry,18751,Air,Gaza
353,37950563,Vanessa Gannon,Physics,24677,Air,Lebanon
354,849199842,Kenneth Gish,Microbiology,29389,Infantry,Health-care
355,84497532,Patricia Pike,geology ,12003,Navy,Animal training
356,235380989,Jacqueline Benware,Chemical Engineer,10513,Navy,Finance
357,504574471,Betty Emmert,Microbiology,14998,Infantry,Explosives
358,357073827,David Kautz,Chemical Engineer,17990,Navy,Animal training
359,182479941,Joseph Potter,Physics,13274,Intelligence,Animal training
360,83363985,Tony Tidwell,Automotive Enginee,8239,Armored,Explosives
361,175509311,James Castro,Physics,7081,Intelligence,Syria
362,742287674,Earline Hartley,geology ,14975,Infantry,Lebanon
363,181351292,Larry Moorefield,Biochemistry,17632,Armored,Finance
364,614604888,Brian Bunnell,Biochemistry,21042,Intelligence,Health-care
365,650406453,Don Martinez,Biochemistry,4344,Navy,Syria
366,938532658,Anne Mendez,Chemical Engineer,27929,Infantry,Lebanon
367,12511191,Janice Banks,Chemical Engineer,29836,Armored,Syria
368,37140753,Yong Wilson,geology ,22824,Navy,Gaza
369,745896190,Anthony Grier,Biochemistry,24668,Air,Gaza
370,633264931,Alison Paine,Zoology,21033,Armored,Lebanon
371,899944656,Agnes Guajardo,Chemistry,22372,Armored,Explosives
372,990028291,Ai Bruderer,Botany,11431,Armored,Finance
373,106812619,Helen Leatherman,Biochemistry,26462,Navy,Animal training
374,609181099,Adam Tellez,Astronomy,26791,Intelligence,Explosives
375,269308169,Eric Browne,Physics,10761,Air,Explosives
376,166980930,Anthony Kemmis,Botany,23330,Navy,Explosives
377,548932091,Clarence Nyman,Chemical Engineer,24257,Navy,Gaza
378,869738640,Shannon Parsons,Botany,22254,Armored,Explosives
379,144374687,Sharon Freeman,geology ,20968,Air,Finance
380,85803481,Eric Hammond,Microbiology,17627,Infantry,Gaza
381,292620683,Thomas Green,Zoology,12443,Infantry,Health-care
382,759348556,Jesse Vincent,Astronomy,25338,Intelligence,Egypt
383,545059404,Terri Dobbin,Chemical Engineer,6589,Intelligence,Health-care
384,485833944,Francis Martich,Astronomy,15900,Infantry,Lebanon
385,442766575,Arthur Jamison,Microbiology,23240,Navy,Gaza
386,635802901,Linda Hixson,Chemical Engineer,3743,Air,Finance
387,579221901,Beatrice Velez,geology ,17252,Navy,Finance
388,552959541,Frankie Romero,Automotive Enginee,12699,Intelligence,Egypt
389,490714365,Betty Skinner,Astronomy,28485,Armored,Finance
390,254580203,Jay Engler,Biochemistry,4826,Intelligence,Enemy-psychology
391,916100717,Mary Paul,Astronomy,10823,Infantry,Explosives
392,391524169,Winifred Carpenter,Zoology,8302,Intelligence,Enemy-psychology
393,35202165,Donna Jimenez,Biochemistry,7072,Armored,Animal training
394,268930049,Issac Meador,Microbiology,12941,Armored,Lebanon
395,377695146,Donald Morris,Astronomy,25266,Intelligence,Egypt
396,154319877,Mercedes Soliz,Zoology,13128,Air,Firearms
397,928522704,Sherry Harris,Chemical Engineer,12771,Air,Firearms
398,851793636,John James,Biochemistry,18143,Intelligence,Enemy-psychology
399,268990557,Marilyn Lolley,Astronomy,28387,Armored,Lebanon
400,610809252,Craig Hicks,Botany,25362,Air,Egypt
401,723240854,Stella Torres,Automotive Enginee,13509,Navy,Health-care
402,745489340,Orlando Kelley,geology ,17013,Navy,Finance
403,992251914,Gerald Johns,Botany,11420,Air,Gaza
404,132625859,William Alley,Automotive Enginee,17579,Infantry,Lebanon
405,705290591,James Marmerchant,Biochemistry,22630,Air,Syria
406,365385620,Ingrid Brinkman,Astronomy,5043,Navy,Enemy-psychology
407,577933145,John Mcvay,Chemical Engineer,14476,Infantry,Enemy-psychology
408,173666292,Paulette Mcneil,Chemical Engineer,3892,Infantry,Animal training
409,537419004,Theresa Fajardo,geology ,10547,Navy,Egypt
410,389487969,Manuel Lepine,Botany,15167,Intelligence,Firearms
411,42755170,Samuel Cassella,Chemical Engineer,23197,Intelligence,Enemy-psychology
412,924644082,Lisa Williams,Automotive Enginee,19421,Infantry,Lebanon
413,444098252,Mary Miller,Automotive Enginee,27907,Armored,Gaza
414,729143315,Jose Trombly,Automotive Enginee,17645,Armored,Explosives
415,270889076,Ignacio Lewis,geology ,4554,Armored,Finance
416,877098088,Karen Brown,Astronomy,27477,Infantry,Lebanon
417,438526821,Jeffrey Gerard,geology ,24928,Intelligence,Lebanon
418,598339744,Kerri Calhoun,Chemical Engineer,3584,Armored,Animal training
419,345031574,Mary Thompson,Botany,27531,Infantry,Firearms
