Run key reserves,Run key soldiers,Salary per day,Reserve contact,Days served,Last recruited Date,Reserve training
48,288,212,0507108555,135,2014-01-10,anti-air
49,294,563,0501090311,243,2016-12-01,anti-air
50,300,671,0507688357,81,2018-02-08,heavy machine-gun
51,306,676,0504890929,712,2013-05-01,heavy machine-gun
52,312,229,0509584836,664,2015-07-08,communication
53,318,654,0504687553,988,2015-08-06,scout
54,324,734,0506680643,258,2014-03-11,driver
55,330,610,0509291948,164,2015-03-10,grandes
56,336,540,0506316077,83,2018-03-25,heavy machine-gun
57,342,368,0504776424,555,2018-02-26,heavy machine-gun
58,348,534,0508165337,716,2011-11-25,grandes
59,354,546,0509778035,400,2017-04-24,anti-air
60,360,234,0501856964,520,2013-04-15,sniper
61,366,591,0509420954,904,2016-05-26,communication
62,372,784,0509412626,697,2012-08-31,anti-air
63,378,471,0508875243,65,2017-03-29,communication
64,384,496,0502710967,144,2014-07-17,driver
65,390,403,0501735409,192,2016-05-01,explosives
66,396,754,0509020019,220,2013-06-16,grandes
67,402,203,0502604285,446,2017-03-17,sniper
68,408,253,0505387522,253,2018-01-15,driver
69,414,427,0502939684,901,2015-06-02,sniper
70,420,402,0503698599,882,2013-10-16,medic
71,426,204,0504568079,970,2013-09-10,grandes
72,432,619,0508782782,555,2018-12-05,communication
73,438,651,0505740657,856,2014-07-24,sniper
74,444,240,0501293523,364,2017-08-28,heavy machine-gun
75,450,259,0504828419,592,2015-02-04,sniper
76,456,699,0507610431,210,2012-01-31,anti-air
77,462,604,0506842038,570,2012-04-10,grandes
78,468,778,0507930073,78,2012-03-08,commander
79,474,711,0502254303,531,2016-01-08,heavy machine-gun
80,480,654,0509652155,128,2015-05-22,driver
81,486,562,0503986312,789,2017-06-04,driver
82,492,433,0501946806,481,2011-10-30,communication
83,498,790,0502304423,307,2014-01-14,anti-air
84,504,314,0508299897,711,2018-10-28,sniper
85,510,639,0501981593,553,2013-07-22,heavy machine-gun
86,516,535,0504728658,843,2015-09-19,medic
87,522,658,0508871066,256,2015-04-03,scout
88,528,380,0501716756,92,2015-06-08,driver
89,534,575,0505995732,1000,2017-02-12,communication
90,540,553,0508437183,304,2019-03-01,anti-air
91,546,573,0507711528,173,2012-10-20,scout
92,552,491,0507041599,112,2014-04-30,scout
93,558,739,0509017924,899,2018-04-21,communication
94,564,638,0505704962,46,2015-12-08,communication
95,570,357,0505385846,799,2018-05-06,driver
96,576,738,0506183209,426,2016-08-03,driver
97,582,238,0501436607,34,2016-05-30,heavy machine-gun
98,588,490,0503913362,42,2018-02-19,heavy machine-gun
99,594,297,0505344498,880,2015-05-22,explosives
100,600,604,0503833581,170,2013-05-24,driver
101,606,202,0506885898,141,2013-06-12,explosives
102,612,217,0505460169,443,2016-11-04,commander
103,618,601,0507364593,654,2018-02-27,medic
104,624,401,0508690947,862,2018-02-07,grandes
105,630,272,0506286937,622,2018-12-19,medic
106,636,759,0506008295,609,2016-12-03,driver
107,642,771,0501667612,783,2016-12-04,scout
108,648,206,0507628751,266,2012-03-07,medic
109,654,575,0501176064,834,2013-03-03,anti-air
110,660,575,0503119459,847,2018-07-18,grandes
111,666,434,0504489498,759,2014-07-13,commander
112,672,650,0509826439,773,2014-03-25,driver
113,678,324,0501568035,259,2014-11-30,grandes
114,684,568,0501279479,557,2013-11-14,heavy machine-gun
115,690,267,0509114320,366,2015-04-14,sniper
116,696,586,0504963277,581,2015-12-30,explosives
117,702,552,0505418374,256,2015-01-09,explosives
118,708,383,0505197752,562,2012-11-06,explosives
119,714,642,0503551955,327,2016-03-30,commander
120,720,470,0504446461,381,2015-10-06,grandes
121,726,210,0505454682,90,2015-04-21,grandes
122,732,779,0503674600,948,2011-12-09,explosives
123,738,436,0509808713,42,2018-07-29,anti-air
124,744,217,0505454241,916,2012-02-26,grandes
125,750,214,0502669593,929,2015-08-09,communication
126,756,375,0503481549,85,2015-11-26,heavy machine-gun
127,762,222,0508845806,482,2017-03-14,scout
128,768,654,0501601837,42,2015-05-26,commander
129,774,442,0501276200,565,2012-11-13,commander
130,780,237,0509237319,973,2018-07-17,anti-air
131,786,633,0504105777,494,2018-06-21,medic
132,792,332,0503400504,317,2015-01-28,communication
133,798,206,0503906731,767,2014-11-07,medic
134,804,447,0502232940,61,2017-05-13,sniper
135,810,372,0503473811,933,2014-04-04,scout
136,816,258,0506411392,805,2016-11-26,scout
137,822,470,0506589050,796,2012-01-17,heavy machine-gun
138,828,418,0509408595,989,2015-05-12,heavy machine-gun
139,834,667,0501181507,395,2017-07-07,heavy machine-gun
140,840,486,0506003913,94,2019-02-17,grandes
141,846,649,0508844915,690,2017-10-09,sniper
142,852,445,0503826363,986,2015-10-06,grandes
143,858,306,0508378452,36,2017-03-02,medic
144,864,433,0501024464,463,2013-04-27,scout
145,870,516,0506935054,172,2016-08-23,driver
146,876,538,0505590732,967,2014-05-26,communication
147,882,513,0501786397,916,2013-10-05,scout
148,888,421,0506734824,592,2012-08-31,scout
149,894,438,0505143919,247,2014-08-26,anti-air
150,900,718,0503537020,226,2016-07-17,medic
151,906,695,0505041636,907,2017-05-08,scout
152,912,210,0508044999,238,2013-03-03,medic
153,918,784,0501408473,937,2013-07-21,explosives
154,924,393,0503743603,363,2012-02-22,communication
155,930,652,0509510552,525,2018-03-11,grandes
156,936,794,0502142088,617,2013-06-24,commander
157,942,200,0509974100,366,2012-07-08,grandes
158,948,742,0503544084,947,2014-05-30,heavy machine-gun
159,954,607,0506126447,251,2017-02-10,explosives
160,960,730,0505972326,749,2015-12-27,explosives
161,966,480,0508545820,668,2014-12-17,sniper
162,972,786,0504811052,783,2016-03-03,medic
163,978,664,0502098944,72,2016-06-18,scout
164,984,495,0501471419,393,2016-02-02,explosives
165,990,693,0509531145,488,2012-05-07,communication
166,996,489,0503957687,958,2012-01-07,heavy machine-gun
167,1002,397,0505271207,902,2014-04-24,grandes
168,1008,392,0504402842,681,2016-09-04,scout
169,1014,681,0509849989,772,2016-10-26,driver
170,1020,545,0507132652,768,2018-03-26,communication
171,1026,712,0505542706,234,2014-04-08,anti-air
172,1032,298,0501622659,56,2013-08-04,anti-air
173,1038,259,0504629877,885,2014-07-21,commander
174,1044,330,0504277866,401,2017-06-18,medic
175,1050,259,0507315381,328,2017-04-14,commander
176,1056,692,0501226170,255,2013-03-13,communication
177,1062,602,0502598971,467,2014-06-18,driver
178,1068,536,0502777123,157,2018-03-16,sniper
179,1074,620,0506197976,828,2012-09-26,anti-air
180,1080,217,0502489936,232,2016-06-28,explosives
181,1086,591,0507811574,588,2015-10-20,heavy machine-gun
182,1092,510,0504460882,876,2015-10-18,heavy machine-gun
183,1098,291,0504322892,70,2016-08-23,heavy machine-gun
184,1104,249,0508232782,345,2013-04-19,anti-air
185,1110,313,0501927919,364,2014-08-12,anti-air
186,1116,784,0501851471,391,2017-03-08,driver
187,1122,724,0506556165,970,2013-03-11,explosives
188,1128,612,0504051753,29,2016-10-16,sniper
189,1134,760,0504174522,775,2012-06-05,sniper
190,1140,652,0509843818,890,2014-03-04,grandes
191,1146,754,0503045414,987,2011-11-01,grandes
192,1152,598,0501000755,620,2012-03-26,driver
193,1158,363,0506725187,829,2013-07-27,heavy machine-gun
194,1164,717,0504418465,250,2017-05-23,communication
195,1170,758,0501029675,33,2016-02-12,driver
196,1176,231,0508253870,231,2018-05-02,anti-air
197,1182,249,0503602809,372,2012-12-26,communication
198,1188,315,0502133619,165,2015-01-25,grandes
199,1194,379,0509246396,395,2017-09-09,sniper
200,1200,603,0504776422,236,2018-08-02,grandes
201,1206,513,0505088491,500,2017-01-05,medic
202,1212,637,0505687019,33,2013-09-03,commander
203,1218,587,0508759475,627,2019-03-12,heavy machine-gun
204,1224,217,0501771224,609,2014-06-27,communication
205,1230,382,0509522543,310,2017-12-06,heavy machine-gun
206,1236,421,0503861998,944,2014-05-25,anti-air
207,1242,210,0503077445,751,2012-08-09,sniper
208,1248,651,0501467204,111,2015-09-12,explosives
209,1254,564,0509338933,706,2012-06-30,communication
210,1260,595,0504975999,504,2015-05-31,sniper
211,1266,464,0504044686,767,2017-03-09,communication
212,1272,600,0506285047,76,2016-06-12,scout
213,1278,555,0502451975,917,2016-10-04,heavy machine-gun
214,1284,549,0504885977,146,2015-01-01,sniper
215,1290,202,0506804059,171,2013-10-21,commander
216,1296,479,0503664917,337,2014-03-23,commander
217,1302,450,0506399034,843,2019-01-31,sniper
218,1308,436,0502095032,941,2016-06-12,sniper
219,1314,239,0503084768,931,2017-07-17,scout
220,1320,362,0502509496,363,2013-03-13,grandes
221,1326,633,0509235386,947,2015-03-23,commander
222,1332,534,0505503682,56,2018-09-08,commander
223,1338,333,0506023612,765,2015-10-05,explosives
224,1344,269,0501803364,9,2019-02-16,communication
225,1350,566,0505648705,799,2011-12-12,heavy machine-gun
226,1356,262,0507084120,530,2014-10-23,driver
227,1362,315,0505662193,451,2019-02-08,medic
228,1368,605,0504684188,145,2013-05-11,medic
229,1374,373,0509648837,474,2017-08-04,scout
230,1380,579,0504154236,223,2015-11-23,explosives
231,1386,556,0502263388,942,2012-02-22,communication
232,1392,505,0504257286,94,2018-04-03,commander
233,1398,703,0506261390,208,2016-05-07,medic
234,1404,690,0509012654,607,2015-10-19,commander
235,1410,341,0504300163,15,2012-03-18,anti-air
236,1416,720,0506238309,539,2013-06-17,medic
237,1422,460,0503353862,606,2015-05-31,driver
238,1428,794,0502825122,962,2013-11-05,commander
239,1434,379,0508409641,715,2014-08-22,explosives
240,1440,629,0508854545,556,2018-07-15,explosives
241,1446,676,0503360422,704,2014-08-14,explosives
242,1452,442,0504643310,202,2018-03-08,communication
243,1458,578,0504229796,194,2013-09-30,scout
244,1464,401,0507811101,622,2016-03-07,driver
245,1470,573,0509693700,719,2014-10-21,communication
246,1476,701,0501985206,246,2013-05-26,commander
247,1482,752,0504786295,81,2014-07-06,sniper
248,1488,676,0505581442,793,2012-07-06,scout
249,1494,311,0506724411,874,2013-10-31,commander
250,1500,726,0506960520,893,2012-12-15,communication
251,1506,554,0509514562,705,2018-08-30,heavy machine-gun
252,1512,713,0504179692,763,2017-11-25,anti-air
253,1518,647,0509994529,973,2013-09-06,heavy machine-gun
254,1524,374,0505250120,97,2014-04-05,scout
255,1530,746,0508109866,293,2016-02-01,medic
256,1536,675,0501055296,658,2014-01-04,grandes
257,1542,572,0503312239,659,2016-06-25,scout
258,1548,601,0502608464,939,2012-02-13,scout
259,1554,206,0501019858,917,2018-10-04,communication
260,1560,399,0503309671,970,2013-08-13,explosives
261,1566,688,0508064826,957,2013-07-28,communication
262,1572,462,0506551137,926,2015-04-28,communication
263,1578,781,0503279736,419,2013-01-27,driver
264,1584,269,0505524137,969,2018-05-07,explosives
265,1590,708,0503947359,704,2017-09-28,heavy machine-gun
266,1596,573,0503361059,575,2013-12-31,sniper
267,1602,510,0505946443,897,2012-10-23,scout
268,1608,608,0509966875,946,2012-08-22,commander
269,1614,525,0506381929,718,2013-06-24,scout
270,1620,224,0501593026,891,2015-03-16,driver
271,1626,600,0504587277,873,2013-04-07,commander
272,1632,510,0502340083,530,2018-11-07,grandes
273,1638,643,0505360054,369,2018-09-10,explosives
274,1644,552,0505321682,690,2018-02-06,sniper
275,1650,261,0506866483,381,2013-03-20,heavy machine-gun
276,1656,285,0508760059,869,2013-03-14,scout
277,1662,226,0507827328,471,2015-02-08,heavy machine-gun
278,1668,669,0502262822,170,2017-11-26,heavy machine-gun
279,1674,647,0505392363,99,2014-05-16,communication
280,1680,444,0507412075,227,2013-05-13,communication
281,1686,359,0506561760,55,2016-08-02,grandes
282,1692,696,0501751923,623,2015-04-16,sniper
283,1698,230,0509649675,520,2015-01-19,medic
284,1704,426,0502387813,406,2017-03-27,medic
285,1710,672,0504944509,552,2017-10-22,heavy machine-gun
286,1716,466,0501386322,749,2017-06-19,sniper
287,1722,783,0505817941,79,2012-09-11,communication
288,1728,310,0507266724,812,2017-06-30,anti-air
289,1734,568,0501779923,581,2017-04-18,explosives
290,1740,541,0501175505,236,2018-05-30,heavy machine-gun
291,1746,529,0503720965,756,2017-03-22,heavy machine-gun
292,1752,310,0504067334,274,2012-06-29,sniper
293,1758,672,0502673000,138,2017-12-13,explosives
294,1764,492,0506054137,595,2019-03-03,sniper
295,1770,715,0508647583,194,2018-01-23,heavy machine-gun
296,1776,640,0509631159,965,2015-12-13,grandes
297,1782,403,0505785605,447,2014-02-12,anti-air
298,1788,671,0509066486,195,2015-11-04,anti-air
299,1794,552,0505610192,638,2013-07-18,scout
300,1800,203,0505792043,965,2014-04-05,commander
301,1806,344,0504672932,321,2019-01-13,explosives
302,1812,745,0501627060,4,2017-11-07,anti-air
303,1818,722,0506358526,255,2014-07-08,communication
304,1824,265,0506785119,283,2012-10-25,communication
305,1830,215,0509960847,261,2017-01-04,grandes
306,1836,676,0503463239,227,2016-08-04,heavy machine-gun
307,1842,722,0508813500,983,2017-05-18,explosives
308,1848,578,0507257126,402,2012-11-19,heavy machine-gun
309,1854,515,0502090353,595,2019-01-02,grandes
310,1860,529,0507327409,804,2015-06-29,driver
311,1866,575,0502458238,534,2018-02-27,explosives
312,1872,492,0506840880,299,2014-10-06,sniper
313,1878,495,0506087888,590,2015-05-05,driver
314,1884,637,0509223051,111,2015-05-16,explosives
315,1890,253,0509640465,216,2016-11-06,medic
316,1896,322,0501261276,197,2012-06-09,explosives
317,1902,512,0507690196,957,2016-09-18,anti-air
318,1908,781,0509760879,797,2013-09-09,heavy machine-gun
319,1914,619,0505272027,213,2015-06-12,explosives
320,1920,711,0506767511,717,2013-12-16,grandes
321,1926,451,0501231518,637,2016-11-13,explosives
322,1932,783,0502443403,617,2014-09-28,anti-air
323,1938,262,0502603214,501,2012-05-16,heavy machine-gun
324,1944,626,0507170184,54,2015-03-24,commander
325,1950,468,0509424875,907,2015-09-10,heavy machine-gun
326,1956,639,0506135880,846,2013-01-14,communication
327,1962,536,0501512797,488,2016-09-26,explosives
328,1968,592,0502422909,118,2012-11-12,commander
329,1974,800,0506152488,391,2017-12-06,driver
330,1980,481,0502829843,3,2016-06-03,sniper
331,1986,258,0508606365,100,2016-11-04,communication
332,1992,358,0503398267,554,2017-03-15,sniper
333,1998,485,0502866930,449,2016-06-27,sniper
334,2004,598,0508424330,726,2018-09-17,heavy machine-gun
335,2010,778,0504215106,948,2016-09-01,sniper
336,2016,732,0503955757,640,2013-02-26,driver
337,2022,325,0507207872,308,2017-04-14,anti-air
338,2028,255,0505428597,152,2014-04-13,sniper
339,2034,592,0504509501,981,2012-10-26,commander
340,2040,301,0506296131,559,2016-09-17,driver
341,2046,306,0503269495,31,2017-08-14,heavy machine-gun
342,2052,601,0502862783,210,2012-10-28,commander
343,2058,629,0504767689,237,2014-09-18,commander
344,2064,702,0504949696,608,2017-03-05,commander
345,2070,302,0504303198,653,2017-04-09,grandes
346,2076,377,0502584863,522,2014-06-11,driver
347,2082,565,0506570014,45,2017-03-08,heavy machine-gun
348,2088,635,0505844048,205,2017-07-23,communication
349,2094,578,0505240645,502,2017-09-25,driver
350,2100,610,0503020069,970,2012-03-23,medic
351,2106,328,0505536368,971,2017-06-24,heavy machine-gun
352,2112,615,0501196854,307,2013-02-19,grandes
353,2118,305,0503397681,189,2019-01-07,grandes
354,2124,315,0509541422,751,2015-06-05,driver
355,2130,313,0506860224,63,2012-06-10,driver
356,2136,601,0505650878,83,2014-02-02,driver
357,2142,580,0505528393,780,2016-06-05,commander
358,2148,242,0508937801,253,2017-03-08,heavy machine-gun
359,2154,643,0501257775,345,2016-11-12,medic
360,2160,745,0502991926,608,2016-11-03,medic
361,2166,388,0503781708,487,2012-02-05,driver
362,2172,580,0504256235,335,2015-05-20,heavy machine-gun
363,2178,652,0506654314,835,2014-09-05,heavy machine-gun
364,2184,557,0501436653,690,2016-02-19,medic
365,2190,480,0509730268,831,2013-06-07,heavy machine-gun
366,2196,325,0506509615,531,2016-12-12,anti-air
367,2202,218,0504246070,894,2014-05-04,driver
368,2208,614,0509284145,829,2013-10-23,sniper
369,2214,428,0508722905,489,2017-01-14,explosives
370,2220,435,0504148034,618,2018-06-10,driver
371,2226,635,0505108509,949,2017-03-18,medic
372,2232,204,0501514291,133,2015-08-05,driver
373,2238,430,0502674150,415,2017-06-27,commander
374,2244,538,0504786592,919,2014-11-02,sniper
375,2250,762,0503248553,537,2018-03-21,communication
376,2256,231,0503502691,121,2015-03-26,driver
377,2262,369,0505292572,550,2014-01-26,communication
378,2268,549,0502303751,414,2017-10-05,anti-air
379,2274,281,0507665339,286,2013-03-04,commander
380,2280,513,0504072618,137,2012-03-02,heavy machine-gun
381,2286,445,0504450690,876,2012-06-11,grandes
382,2292,450,0502813442,798,2014-07-30,driver
383,2298,778,0509927008,793,2013-04-27,communication
384,2304,727,0507685161,648,2012-10-24,scout
385,2310,748,0505193942,380,2017-03-12,sniper
386,2316,764,0506580920,836,2016-03-11,medic
387,2322,652,0508842358,211,2016-01-11,driver
388,2328,518,0509778363,321,2011-12-29,medic
389,2334,658,0503118010,481,2012-09-24,explosives
390,2340,723,0501083403,153,2014-05-23,commander
391,2346,790,0502260499,567,2019-03-05,communication
392,2352,670,0508474530,454,2017-08-05,sniper
393,2358,346,0501498050,992,2012-12-05,commander
394,2364,331,0504583535,650,2015-02-27,communication
395,2370,699,0508722529,526,2012-05-13,driver
396,2376,342,0505849615,858,2012-02-26,scout
397,2382,409,0506979540,420,2017-07-20,heavy machine-gun
398,2388,282,0505934210,337,2018-07-30,explosives
399,2394,603,0503007839,358,2014-10-29,driver
400,2400,472,0507070895,665,2016-12-18,driver
401,2406,390,0502669834,989,2012-05-10,medic
402,2412,447,0503228976,587,2018-12-12,medic
403,2418,431,0502379416,309,2017-03-18,grandes
404,2424,659,0504491278,496,2017-09-14,scout
405,2430,279,0505850346,857,2013-08-15,explosives
406,2436,402,0507749768,355,2012-01-13,explosives
407,2442,569,0509752753,403,2011-12-18,sniper
408,2448,237,0502349163,76,2013-08-30,commander
409,2454,626,0502976469,595,2012-11-30,medic
410,2460,726,0507046293,990,2013-04-20,grandes
411,2466,485,0506557384,872,2013-02-04,explosives
412,2472,345,0509015939,21,2018-02-23,driver
413,2478,426,0506594285,114,2012-02-06,sniper
414,2484,277,0504078064,398,2013-02-06,anti-air
415,2490,723,0509793127,581,2016-03-11,anti-air
416,2496,353,0504336111,192,2012-08-31,heavy machine-gun
417,2502,650,0503058518,83,2013-10-05,communication
418,2508,205,0507282371,523,2017-04-11,driver
419,2514,752,0501032843,241,2013-05-09,scout
420,2520,531,0508036203,320,2012-01-20,driver
421,2526,419,0505895422,102,2018-11-18,explosives
422,2532,663,0505331370,277,2018-10-13,communication
423,2538,270,0507294692,849,2016-06-09,medic
424,2544,390,0502284121,458,2013-08-26,driver
425,2550,624,0502478461,434,2014-09-02,scout
426,2556,291,0501378459,729,2014-12-07,medic
427,2562,456,0509502242,245,2012-10-14,commander
428,2568,787,0501974693,616,2018-01-10,communication
429,2574,785,0503883420,328,2017-08-09,explosives
430,2580,452,0502994532,895,2012-09-11,medic
431,2586,317,0502873088,717,2012-02-16,sniper
432,2592,675,0504659520,717,2017-03-27,heavy machine-gun
433,2598,384,0509370839,880,2016-09-26,grandes
434,2604,206,0506477540,416,2017-10-17,commander
435,2610,658,0506734853,985,2013-06-16,sniper
436,2616,302,0504519103,167,2018-04-29,grandes
437,2622,684,0508563854,503,2012-09-07,medic
438,2628,634,0506466113,653,2017-03-08,driver
439,2634,742,0504785188,364,2014-03-23,medic
440,2640,584,0505257818,854,2018-09-18,explosives
441,2646,688,0509088669,697,2015-08-26,grandes
442,2652,426,0502923507,175,2015-06-19,heavy machine-gun
443,2658,435,0508209421,630,2012-04-30,communication
444,2664,767,0503235297,501,2012-07-26,grandes
445,2670,472,0508861903,783,2013-01-19,communication
446,2676,755,0506168648,563,2011-11-02,heavy machine-gun
447,2682,254,0504525929,684,2015-10-15,communication
448,2688,634,0504563709,179,2019-01-30,heavy machine-gun
449,2694,276,0502926211,510,2016-05-03,grandes
450,2700,408,0504393945,72,2014-07-24,communication
451,2706,589,0509512945,128,2014-04-17,grandes
452,2712,622,0504237196,668,2018-12-21,scout
453,2718,313,0508108188,611,2017-02-09,medic
454,2724,523,0502009037,643,2015-05-03,explosives
455,2730,391,0502622749,150,2016-01-18,explosives
456,2736,349,0502605156,745,2017-03-29,grandes
457,2742,546,0505333228,744,2018-10-07,heavy machine-gun
458,2748,729,0507528379,155,2015-12-31,communication
459,2754,794,0501968493,938,2016-01-16,explosives
460,2760,732,0508582630,451,2012-02-27,explosives
461,2766,660,0501221718,227,2013-03-27,driver
462,2772,331,0502300115,960,2012-04-10,explosives
463,2778,651,0501580233,537,2013-03-23,driver
464,2784,324,0504628971,603,2011-12-27,commander
465,2790,411,0507324696,592,2012-09-29,communication
466,2796,437,0507856570,902,2013-01-18,medic
467,2802,602,0502892287,206,2012-04-16,medic
468,2808,553,0507885598,966,2018-04-08,explosives
469,2814,686,0504717020,233,2014-01-04,heavy machine-gun
470,2820,414,0509646794,910,2014-11-29,anti-air
471,2826,540,0507726178,334,2016-12-13,medic
472,2832,604,0504412067,333,2016-06-11,scout
473,2838,360,0504169831,54,2017-09-01,grandes
474,2844,408,0508105281,894,2012-01-07,sniper
475,2850,609,0507639176,337,2011-12-06,medic
476,2856,634,0503819850,571,2013-05-03,sniper
477,2862,522,0502361700,244,2018-01-06,communication
478,2868,341,0502209976,744,2015-07-03,communication
479,2874,602,0504734785,789,2017-06-17,medic
480,2880,599,0502104828,673,2012-11-13,driver
481,2886,423,0503299158,645,2012-05-12,sniper
482,2892,284,0504467199,240,2018-05-13,grandes
483,2898,724,0503193838,465,2017-06-14,driver
484,2904,524,0501062253,9,2013-05-12,sniper
485,2910,731,0507299980,634,2014-11-07,scout
486,2916,566,0508940580,954,2018-08-13,scout
487,2922,615,0506459233,46,2016-12-27,medic
488,2928,389,0509653975,5,2013-09-09,grandes
489,2934,341,0503806738,449,2012-11-28,sniper
490,2940,545,0508468756,994,2018-05-24,anti-air
491,2946,455,0509710681,216,2016-08-13,medic
492,2952,391,0503498906,885,2017-01-11,communication
493,2958,494,0507110969,270,2014-08-27,heavy machine-gun
494,2964,519,0501703621,900,2016-03-18,driver
495,2970,466,0509953395,523,2014-09-01,medic
496,2976,478,0509846185,913,2016-01-30,sniper
497,2982,440,0501804958,190,2018-01-11,scout
498,2988,415,0503113487,597,2018-04-30,medic
499,2994,735,0502061915,754,2019-01-02,explosives
500,3000,640,0503418114,722,2013-10-12,grandes
501,3006,755,0507877138,668,2016-02-01,driver
502,3012,784,0505696388,315,2011-11-05,communication
503,3018,251,0507157536,510,2013-01-18,driver
504,3024,553,0506809647,515,2014-10-11,grandes
505,3030,785,0502164334,491,2014-08-05,scout
506,3036,754,0501720234,307,2012-09-18,anti-air
507,3042,712,0502970127,362,2015-05-05,commander
508,3048,496,0506000165,241,2017-10-10,heavy machine-gun
509,3054,364,0508095246,665,2012-11-29,anti-air
510,3060,757,0508068219,963,2018-03-19,commander
511,3066,782,0505337663,826,2013-12-31,grandes
512,3072,251,0505721810,302,2013-02-26,anti-air
513,3078,728,0506680950,259,2012-10-07,explosives
514,3084,350,0508224268,741,2016-02-10,medic
515,3090,481,0508886291,310,2018-11-20,commander
516,3096,764,0504267581,96,2016-09-18,heavy machine-gun
517,3102,430,0507322961,148,2018-12-05,explosives
518,3108,712,0507412486,742,2016-02-28,communication
519,3114,632,0505805355,227,2016-04-06,medic
520,3120,361,0509958242,664,2013-10-19,commander
521,3126,722,0503815392,136,2017-02-11,heavy machine-gun
522,3132,526,0501289990,435,2014-10-24,driver
523,3138,219,0509996969,75,2017-05-22,medic
524,3144,407,0509475059,762,2012-07-10,medic
525,3150,438,0503427723,669,2019-03-14,scout
526,3156,533,0506842933,539,2018-06-09,grandes
527,3162,626,0507964238,543,2017-07-28,scout
528,3168,362,0506740224,174,2013-03-24,sniper
529,3174,502,0509624957,475,2017-07-31,commander
530,3180,395,0509455192,908,2015-10-22,medic
531,3186,344,0509672528,716,2011-12-26,communication
532,3192,770,0506028487,266,2012-05-21,heavy machine-gun
533,3198,777,0502716496,512,2012-10-09,heavy machine-gun
534,3204,538,0509787368,791,2015-12-21,driver
535,3210,638,0504669780,162,2014-08-09,explosives
536,3216,710,0504803670,990,2015-06-16,driver
537,3222,253,0503672594,457,2019-01-30,anti-air
538,3228,578,0508785160,887,2013-06-01,communication
539,3234,401,0507125054,981,2015-03-03,anti-air
540,3240,428,0507993630,637,2016-06-03,heavy machine-gun
541,3246,676,0501630209,768,2012-08-03,driver
542,3252,558,0503742544,69,2016-10-24,anti-air
543,3258,428,0501594950,175,2014-05-05,commander
544,3264,758,0506351018,928,2017-09-28,driver
545,3270,296,0504059834,574,2013-05-06,scout
546,3276,370,0503494136,479,2013-12-05,grandes
547,3282,672,0507961628,408,2012-01-31,sniper
548,3288,260,0501702401,767,2011-11-23,medic
549,3294,589,0509403736,169,2018-02-28,medic
550,3300,661,0503101405,962,2016-01-01,medic
551,3306,341,0509549579,911,2012-07-13,grandes
552,3312,491,0501831590,897,2012-01-10,anti-air
553,3318,674,0508610810,131,2016-08-07,sniper
554,3324,739,0508036116,249,2013-03-28,driver
555,3330,234,0501460073,178,2018-09-27,sniper
556,3336,708,0506636212,40,2013-04-29,heavy machine-gun
557,3342,793,0504580010,444,2015-09-29,anti-air
